# Z1 Z2 a b c d rms_err(%) max_err(%)
 3 89  0.21965 -1.73426  9.52563 -0.99640  2.61  4.40
 3 90  0.19116 -1.75688  9.52812 -1.00025  2.70  4.71
 3 91  0.32220 -1.71447  9.40292 -0.99370  4.38  8.82
 3 92  0.34428 -1.71020  9.42664 -0.98859  4.51  9.13
 4  4  0.12894 -1.81681  7.74803 -1.07949  1.33  2.53
 4  5  0.06796 -1.99972  8.05132 -1.09399  0.58  1.62
 4  6  0.09113 -2.00846  8.24010 -1.10559  0.84  2.15
 4  7  0.12547 -2.00416  8.67593 -1.05954  0.29  0.69
 4  8  0.14830 -2.00005  8.88507 -1.02435  0.50  1.14
 4  9  0.16210 -1.98384  8.87558 -1.00006  1.04  1.99
 4 10  1.28475 -1.60437  7.17777 -0.83765  2.02  6.12
 4 11  0.07251 -1.88153  8.10834 -1.13822  8.22 14.53
 4 12  0.12869 -1.77691  8.27095 -1.09763  6.23 10.93
 4 13  0.06382 -1.92151  8.39015 -1.08909  5.24  9.83
 4 14  0.06773 -1.95128  8.45338 -1.07607  4.98  9.19
 4 15  0.07426 -1.96666  8.46152 -1.06389  4.42  8.17
 4 16  0.07512 -1.98387  8.49912 -1.05136  3.19  6.80
 4 17  0.07800 -1.97285  8.51403 -1.03763  2.35  4.86
 4 18  0.56637 -1.64824  8.05156 -0.94093  1.30  3.92
 4 19  0.33550 -1.68935  8.11572 -1.02007  6.07 13.19
 4 20  0.57335 -1.63472  7.91532 -0.98037  4.66  9.73
 4 21  0.28060 -1.77016  8.26276 -1.01816  4.58  9.33
 4 22  0.31206 -1.78023  8.33531 -1.00719  4.48  8.87
 4 23  0.25804 -1.81712  8.43136 -1.02134  3.79  7.22
 4 24  0.21331 -1.84770  8.48881 -1.04071  3.72  7.05
 4 25  0.18819 -1.86779  8.60234 -1.05207  4.17  7.63
 4 26  0.17000 -1.88321  8.67676 -1.06343  4.16  7.35
 4 27  0.15720 -1.89410  8.73447 -1.07105  4.29  7.33
 4 28  0.16208 -1.88903  8.82900 -1.06317  3.66  6.34
 4 29  0.17190 -1.84977  8.78209 -1.07434  5.02  9.44
 4 30  0.59643 -1.64670  8.43977 -1.01732  4.78  9.56
 4 31  0.16506 -1.80899  8.77964 -1.08831  5.12  8.71
 4 32  0.10376 -1.87730  8.86097 -1.09560  4.99  8.84
 4 33  0.09041 -1.90817  8.94967 -1.08561  4.79  7.91
 4 34  0.07697 -1.93835  9.04827 -1.07560  4.10  7.75
 4 35  0.07513 -1.93130  9.08313 -1.06449  3.72  6.84
 4 36  0.47530 -1.65345  8.59137 -0.99137  2.31  5.17
 4 37  0.63574 -1.60847  8.66377 -0.95752  3.45  9.06
 4 38  0.78298 -1.58851  8.39701 -0.93436  1.81  3.16
 4 39  0.28233 -1.74640  8.97031 -0.99508  3.85  7.65
 4 40  0.25070 -1.77980  9.02922 -0.99271  3.59  7.08
 4 41  0.20055 -1.81669  9.07329 -1.00380  3.33  6.35
 4 42  0.17506 -1.83898  9.09805 -1.01223  3.70  7.00
 4 43  0.15863 -1.85504  9.09682 -1.01971  4.05  7.63
 4 44  0.14965 -1.86458  9.11039 -1.02431  4.22  7.68
 4 45  0.14222 -1.87140  9.12968 -1.02413  4.02  7.06
 4 46  0.13522 -1.87262  9.14700 -1.02275  3.73  6.42
 4 47  0.22809 -1.78481  9.04867 -1.00206  3.90  7.59
 4 48  0.72157 -1.61147  8.46922 -0.92811  2.41  5.60
 4 49  0.29090 -1.72671  8.85387 -1.00306  4.36  8.71
 4 50  0.17496 -1.79298  8.91951 -1.02744  4.88  9.35
 4 51  0.14060 -1.82706  9.00123 -1.02555  5.05  9.94
 4 52  0.11619 -1.85545  9.01350 -1.02781  4.83  9.11
 4 53  0.09608 -1.86572  8.97842 -1.03592  4.63  8.57
 4 54  0.50577 -1.62602  8.47997 -0.96127  2.67  6.07
 4 55  0.61711 -1.60585  8.64496 -0.93955  2.10  3.80
 4 56  0.32379 -1.70223  8.89178 -0.98814  3.53  7.19
 4 57  0.24079 -1.74752  8.90689 -0.97220  3.80  7.34
 4 58  1.38492 -1.51620  7.81895 -0.85753  3.14  9.88
 4 59  1.36304 -1.52292  7.87311 -0.86043  2.65  8.24
 4 60  1.38809 -1.52442  7.86606 -0.85875  2.39  7.27
 4 61  1.41883 -1.52476  7.84739 -0.85762  2.33  6.64
 4 62  1.46252 -1.52343  7.81307 -0.85578  2.53  6.44
 4 63  1.51386 -1.52094  7.77380 -0.85307  2.71  6.49
 4 64  1.05049 -1.58210  8.32513 -0.90006  1.36  3.49
 4 65  1.60905 -1.51536  7.71944 -0.84894  2.95  6.86
 4 66  1.63479 -1.51365  7.72382 -0.85005  2.89  6.85
 4 67  1.64336 -1.51277  7.74842 -0.85332  2.74  6.74
 4 68  1.62956 -1.51310  7.79729 -0.85820  2.52  6.53
 4 69  1.53874 -1.51722  7.94995 -0.87182  2.14  6.20
 4 70  1.42484 -1.50598  7.71483 -0.94639  4.30 10.85
 4 71  0.51176 -1.67340  8.94629 -0.98439  2.48  5.30
 4 72  0.35455 -1.73076  9.24955 -1.00246  2.89  5.71
 4 73  0.26264 -1.77113  9.33608 -1.02078  3.34  5.97
 4 74  0.21283 -1.79866  9.38756 -1.03246  3.80  6.42
 4 75  0.18571 -1.81624  9.40599 -1.03984  4.14  7.22
 4 76  0.16794 -1.82897  9.42585 -1.04456  4.35  7.58
 4 77  0.15288 -1.83912  9.46197 -1.04525  4.25  7.06
 4 78  0.14152 -1.84253  9.49593 -1.04412  4.00  6.59
 4 79  0.24031 -1.76268  9.43689 -1.01873  3.39  6.00
 4 80  0.77852 -1.59959  8.99867 -0.93149  0.90  1.82
 4 81  0.41701 -1.67422  9.33878 -0.98663  2.92  5.78
 4 82  0.25386 -1.73384  9.43125 -1.01511  3.78  7.35
 4 83  0.18035 -1.77787  9.45900 -1.02857  4.30  7.85
 4 84  0.13097 -1.81721  9.30231 -1.04583  4.08  7.40
 4 85  0.10724 -1.82619  8.99495 -1.06473  3.40  6.34
 4 86  0.46645 -1.62121  8.28525 -1.02511  1.54  3.08
 4 87  0.75230 -1.56333  8.68043 -0.94972  2.25  4.75
 4 88  0.30857 -1.68931  9.44410 -0.98356  2.89  5.87
 4 89  0.23841 -1.72667  9.45279 -0.99536  3.10  6.01
 4 90  0.20358 -1.75151  9.47695 -1.00001  3.23  5.88
 4 91  0.28001 -1.74180  9.43582 -0.99274  3.07  5.28
 4 92  0.28542 -1.74320  9.47703 -0.99093  3.20  5.49
 5  5  0.08831 -2.01226  8.32405 -1.08817  0.71  1.40
 5  6  0.13416 -1.99642  8.61429 -1.04769  0.30  0.56
 5  7  0.16060 -1.99766  8.77371 -1.01974  0.50  1.13
