# Z1 Z2     a1        b1       a2       b2       a3       b3  rmax[A]    error
 2 51  0.42618  18.13182  0.57276  3.69966  0.00000  1.00000  3.21800  0.04128
 2 52  0.38123  21.17986  0.61681  3.88514  0.00000  1.00000  3.13900  0.06359
 2 53  0.52735  13.73485  0.47056  3.29717  0.00000  1.00000  3.07600  0.01972
 2 54  0.37693  19.82979  0.52856  4.56044  0.10105  1.51812  2.81223  0.01590
 2 55  0.22955  29.12521  0.52614  6.75750  0.24452  2.45394  3.35831  0.01934
 2 56  0.16870  36.40332  0.51140  8.17070  0.31980  2.80127  4.63200  0.02468
 2 57  0.36902  20.60547  0.48690  4.78031  0.15713  1.81371  2.22000  0.01030
 2 58  0.22691  30.20251  0.59221  6.37970  0.18054  2.40675  4.47600  0.02231
 2 59  0.20866  32.64495  0.61436  6.56664  0.17670  2.42443  4.44600  0.02395
 2 60  0.20519  33.28416  0.63159  6.55866  0.16306  2.38807  4.41900  0.02381
 2 61  0.19577  34.88177  0.64477  6.66747  0.15935  2.40165  4.38900  0.02570
 2 62  0.18754  36.37573  0.65577  6.77665  0.15660  2.41872  4.35600  0.02757
 2 63  0.18043  37.72074  0.66479  6.88651  0.15471  2.43907  4.33800  0.02875
 2 64  0.20367  32.51721  0.61482  6.88750  0.18088  2.76855  4.53200  0.01976
 2 65  0.16717  40.34534  0.67698  7.14813  0.15577  2.50105  4.28200  0.02986
 2 66  0.15944  42.03809  0.68168  7.31197  0.15878  2.54229  4.26200  0.02929
 2 67  0.15379  43.31120  0.68275  7.47047  0.16334  2.58967  4.23400  0.02856
 2 68  0.14784  44.52265  0.67862  7.68631  0.17339  2.65945  4.21700  0.02600
 2 69  0.14814  44.07333  0.66906  7.82876  0.18265  2.70491  4.19300  0.02186
 2 70  0.15527  40.95199  0.64527  7.99347  0.19897  2.76446  4.13400  0.01806
 2 71  0.08466  69.18143  0.60525  9.89991  0.30974  3.32354  4.10200  0.02572
 2 72  0.05095 109.92666  0.55566 11.89695  0.39340  3.69131  3.69900  0.03871
 2 73  0.04272 130.11304  0.53740 12.70165  0.42030  3.80175  2.05151  0.03700
 2 74  0.20085  32.77898  0.60974  7.68063  0.20496  2.49198  1.68400  0.00698
 2 75  0.16136  38.88549  0.58116  8.71765  0.26852  2.96498  1.55900  0.00614
 2 76  0.14380  42.53600  0.56869  9.28330  0.29733  3.13574  1.49000  0.00570
 2 77  0.13134  45.52153  0.54765  9.84580  0.32782  3.35648  1.53500  0.00541
 2 78  0.14590  42.19816  0.53461  9.62813  0.32419  3.38486  1.66000  0.00609
 2 79  0.12381  48.48924  0.54053 10.19325  0.33542  3.46840  3.06300  0.00602
 2 80  0.17493  36.17514  0.55372  8.94664  0.27088  3.09886  3.26200  0.00948
 2 81  0.12741  47.43136  0.57665  9.88049  0.29591  3.14380  3.40200  0.00834
 2 82  0.05647  96.12949  0.58044 12.22084  0.36283  3.36544  3.42100  0.02055
 2 83  0.58115  14.92885  0.41810  3.57907  0.00000  1.00000  3.32700  0.04037
 2 84  0.54619  16.26829  0.45247  3.72361  0.00000  1.00000  3.25700  0.05576
 2 85  0.10753  53.00116  0.56034 11.05050  0.33097  3.14048  3.20100  0.01391
 2 86  0.52970  16.22289  0.40378  4.32794  0.07007  1.54466  2.97285  0.01805
 2 87  0.39599  20.36304  0.40572  6.36365  0.19839  2.41317  3.68552  0.02054
 2 88  0.14815  41.47391  0.55150 10.24331  0.30039  2.79769  3.72789  0.02262
 2 89  0.51379  16.97046  0.37383  4.62772  0.12031  1.83606  2.31000  0.01335
 2 90  0.52006  16.99703  0.37561  4.46645  0.11434  1.78555  2.12400  0.01269
 2 91  0.32827  25.07150  0.44442  6.82049  0.22751  2.99221  2.66952  0.02561
 2 92  0.33636  25.16267  0.46106  6.49477  0.20276  2.96864  2.72661  0.02389
 3  3  0.92656   4.12010  0.00000  1.00000  0.00000  1.00000  2.00700  0.04563
 3  4  0.85772   4.95039  9.99990  0.07202  0.00000  1.00000  1.99100  0.03670
 3  5  0.88007   5.09025  9.99990  0.06911  0.00000  1.00000  1.53700  0.02837
 3  6  0.03657  60.36797  0.90158  4.87920  0.00000  1.00000  1.32600  0.02249
 3  7  0.94653   5.36517  0.00000  1.00000  0.00000  1.00000  1.19000  0.02421
 3  8  0.88459   6.10975  9.99990  0.06532  0.00000  1.00000  1.09500  0.02886
 3  9  0.76537   7.42346  9.99990  0.15846  0.00000  1.00000  1.05100  0.03138
 3 10  0.32406  15.25985  0.68079  3.34840  0.00000  1.00000  1.83635  0.05839
 3 11  0.26864  17.56358  0.71371  3.73513  0.00000  1.00000  2.05100  0.04575
