# Z1 Z2 a b c d relerr(%)
 4 28  1.25652  0.01557  0.02733  0.34821  0.91902
 4 29  1.30929  0.01160  0.03236  0.37093  1.24618
 4 30  1.40032  0.00701  0.07991  0.38882  1.53647
 4 31  1.36345  0.00345 -0.03834  0.39399  1.32745
 4 32  1.31986  0.00401 -0.04565  0.38131  1.29757
 4 33  1.28085  0.00472 -0.04595  0.36349  1.35755
 4 34  1.23073  0.00486 -0.05458  0.33791  1.21542
 4 35  1.18583  0.00463 -0.04806  0.29629  1.31101
 4 36  1.30709  0.00559  0.07434  0.27871  3.33655
 4 37  1.24898  0.00622  0.10616  0.25881  2.53973
 4 38  1.22295  0.00975  0.16591  0.22140  2.13522
 4 39  1.12987  0.01561  0.12455  0.20134  1.79416
 4 40  1.12426  0.01786  0.11475  0.20103  2.10617
 4 41  1.10703  0.01594  0.08888  0.20362  1.60824
 4 42  1.11127  0.01401  0.06650  0.21836  1.43625
 4 43  1.12360  0.01324  0.05543  0.23389  1.45091
 4 44  1.12738  0.01236  0.04437  0.24315  1.40101
 4 45  1.12098  0.01189  0.03940  0.24098  1.30848
 4 46  1.10789  0.01095  0.03516  0.23083  1.21991
 4 47  1.11493  0.01431  0.09664  0.20722  1.46531
 4 48  1.14464  0.03060  0.23377  0.16861  2.22053
 4 49  1.19150  0.00805  0.07578  0.24231  2.07593
 4 50  1.17951  0.00666  0.04096  0.24650  1.97705
 4 51  1.13414  0.00793  0.04757  0.22374  1.58700
 4 52  1.14736  0.00639  0.01468  0.23457  1.83655
 4 53  1.14637  0.00476 -0.00375  0.23034  1.76405
 4 54  1.19369  0.00807  0.13945  0.20043  2.68262
 4 55  1.34425  0.00349  0.05002  0.27972  3.50332
 4 56  1.13149  0.01259  0.13930  0.19536  1.46683
 4 57  1.09185  0.01512  0.13392  0.15166  1.65446
 4 58  1.25506  0.02467  0.26059  0.24198  2.75472
 4 59  1.25203  0.02487  0.25353  0.24510  2.65940
 4 60  1.24428  0.03222  0.27187  0.23490  2.64784
 4 61  1.09283  0.11475  0.36932  0.06791  1.59631
 4 62  1.07268  0.16250  0.39187  0.00884  1.71427
 4 63  1.05950  0.21222  0.40796 -0.04744  1.83540
 4 64  1.21643  0.02897  0.22231  0.23988  2.59641
 4 65  1.04154  0.32574  0.43157 -0.16737  1.98047
 4 66  1.04893  0.28254  0.42528 -0.11386  1.92035
 4 67  1.06394  0.21132  0.41086 -0.02634  1.80248
 4 68  1.08164  0.14478  0.38915  0.05810  1.65116
 4 69  1.11559  0.06381  0.33319  0.17017  1.38189
 4 70  1.39328  0.00001 -0.40063  0.40296  2.48770
 4 71  1.13460  0.01591  0.14164  0.24362  1.20084
 4 72  1.09093  0.01678  0.12625  0.23097  1.36031
 4 73  1.09746  0.01200  0.08079  0.25093  1.17914
 4 74  1.10196  0.00989  0.05496  0.26461  1.02626
 4 75  1.10462  0.00928  0.04562  0.27217  1.02743
 4 76  1.10622  0.00853  0.03486  0.27797  0.99518
 4 77  1.09715  0.00773  0.02464  0.27325  0.97865
 4 78  1.08505  0.00673  0.01614  0.26247  1.04490
 4 79  1.07376  0.00841  0.06667  0.23428  1.26323
 4 80  1.06660  0.01733  0.19488  0.18956  1.77976
 4 81  1.20118  0.00483  0.04797  0.28181  3.19116
 4 82  1.17028  0.00424  0.02351  0.27291  3.00806
 4 83  1.12293  0.00383  0.00475  0.25743  2.32919
 4 84  1.10384  0.00370 -0.00702  0.24867  2.14338
 4 85  1.10627  0.00257 -0.02962  0.24653  2.17304
 4 86  1.14488  0.00382  0.09785  0.22266  3.15092
 4 87  1.12140  0.00569  0.15225  0.20534  2.88787
 4 88  1.02813  0.00807  0.12113  0.17001  1.68579
 4 89  1.03183  0.00703  0.09227  0.17649  1.68492
 4 90  1.02809  0.00697  0.08044  0.17718  1.67037
 4 91  1.04493  0.01051  0.09378  0.19721  1.58568
 4 92  1.05138  0.00949  0.07934  0.20660  1.59856
 5  5  1.50139  0.01075 -0.07834  0.50268  2.50527
 5  6  1.32639  0.01824 -0.04249  0.41767  2.11613
 5  7  1.20847  0.02278 -0.03137  0.35831  2.02339
 5  8  1.14002  0.02775 -0.01643  0.30533  1.84342
 5  9  1.14522  0.03018  0.00037  0.28327  1.64582
 5 10  0.75312  0.13073  0.32217 -0.08426  2.27660
 5 11  1.58382  0.00412 -0.05755  0.47045  1.98719
 5 12  1.42664  0.00323 -0.07133  0.36850  0.89392
 5 13  1.36318  0.00509 -0.06111  0.35004  0.73389
 5 14  1.34299  0.00731 -0.04921  0.34882  0.99665
 5 15  1.30048  0.00963 -0.03863  0.32985  0.63885
 5 16  1.25524  0.00952 -0.04438  0.30484  0.96820
 5 17  1.22214  0.01020 -0.02832  0.27182  1.34286
 5 18  1.26731  0.02238  0.13281  0.19950  1.89599
 5 19  1.33793  0.01591  0.10451  0.26454  1.91097
 5 20  1.32524  0.01772  0.09299  0.27316  1.73593
 5 21  1.27425  0.01905  0.05521  0.27330  1.57098
 5 22  1.25857  0.01568  0.01987  0.30067  0.99210
 5 23  1.25518  0.01584  0.01573  0.31234  0.90640
 5 24  1.26029  0.01543  0.00887  0.33070  0.83784
 5 25  1.26491  0.01513  0.00298  0.34701  0.77861
 5 26  1.26003  0.01600  0.00812  0.35013  0.81580
 5 27  1.24648  0.01705  0.01666  0.34255  0.94664
 5 28  1.29164  0.01543  0.01340  0.36799  1.38832
 5 29  1.31633  0.01320  0.02846  0.36937  1.49402
 5 30  1.35365  0.00811  0.02291  0.37935  1.34870
 5 31  1.33615  0.00571 -0.02683  0.38818  1.27542
 5 32  1.28675  0.00642 -0.02717  0.36239  1.14429
 5 33  1.24627  0.00734 -0.02353  0.33937  1.10030
 5 34  1.21272  0.00605 -0.04337  0.32016  1.12509
 5 35  1.17969  0.00595 -0.03331  0.28573  1.30037
 5 36  1.15360  0.01117  0.09677  0.20871  1.64285
 5 37  1.15243  0.01263  0.11266  0.21001  1.57621
 5 38  1.14493  0.01450  0.11290  0.20641  1.63627
 5 39  1.13212  0.01186  0.05434  0.22353  1.41906
 5 40  1.14382  0.00935  0.01486  0.24881  1.34830
 5 41  1.14363  0.00950  0.01048  0.25329  1.31387
 5 42  1.14344  0.00951  0.00539  0.25886  1.28580
 5 43  1.14222  0.00965  0.00203  0.26204  1.22872
 5 44  1.13086  0.01036  0.00757  0.25464  1.16865
 5 45  1.11092  0.01130  0.01603  0.23897  1.16374
 5 46  1.11414  0.01272  0.04260  0.22592  1.30119
 5 47  1.12513  0.01526  0.09015  0.20879  1.47417
 5 48  1.17748  0.01386  0.11048  0.22323  2.04646
 5 49  1.19153  0.00858  0.05174  0.25023  1.93679
 5 50  1.17883  0.00764  0.03030  0.24861  1.79357
 5 51  1.13722  0.00900  0.04115  0.22542  1.38306
 5 52  1.16388  0.00559 -0.00773  0.24557  1.69675
 5 53  1.15431  0.00487 -0.00895  0.23263  1.68522
 5 54  1.12902  0.00710  0.07338  0.18443  1.59343
 5 55  1.16317  0.00552  0.03700  0.22433  1.20558
 5 56  1.15788  0.00669  0.03173  0.23663  1.03300
 5 57  1.12023  0.00867  0.04771  0.19204  1.52273
 5 58  1.11097  0.03127  0.20801  0.16232  1.48328
 5 59  1.12237  0.02478  0.18140  0.18275  1.32061
 5 60  1.11622  0.02706  0.18863  0.17922  1.39675
 5 61  1.10743  0.03085  0.20086  0.17211  1.48324
 5 62  1.09953  0.03493  0.21312  0.16540  1.54288
 5 63  1.09343  0.03850  0.22320  0.16063  1.57784
 5 64  1.18364  0.00725  0.01450  0.29307  0.86242
 5 65  1.09786  0.03857  0.22704  0.17161  1.54269
 5 66  1.10158  0.03744  0.22636  0.17918  1.51354
 5 67  1.11033  0.03445  0.22117  0.19209  1.43624
 5 68  1.12859  0.02761  0.20406  0.21606  1.24360
 5 69  1.15930  0.01797  0.17098  0.25202  1.04704
 5 70  1.31124  0.00453  0.06824  0.35288  2.19542
 5 71  1.15427  0.01122  0.06523  0.27071  0.94000
 5 72  1.13752  0.00829  0.02383  0.28703  0.85195
 5 73  1.13537  0.00780  0.01416  0.29091  0.85438
 5 74  1.13281  0.00734  0.00477  0.29397  0.87001
 5 75  1.13019  0.00704 -0.00215  0.29592  0.88234
 5 76  1.11748  0.00718 -0.00156  0.28738  0.91987
 5 77  1.09913  0.00739  0.00139  0.27324  0.95985
 5 78  1.09121  0.00840  0.02825  0.25432  1.05835
 5 79  1.08654  0.01043  0.07699  0.23058  1.23378
 5 80  1.09293  0.01124  0.11316  0.22034  1.37110
 5 81  1.20205  0.00563  0.03315  0.28640  2.73387
 5 82  1.13499  0.00515  0.02095  0.25910  1.95581
 5 83  1.08874  0.00637  0.03849  0.23464  1.31082
 5 84  1.11569  0.00363 -0.01621  0.25426  1.72940
 5 85  1.11439  0.00282 -0.02771  0.24671  1.82457
 5 86  1.09659  0.00297  0.01639  0.21321  1.77821
 5 87  1.07161  0.00667  0.10976  0.18635  1.79711
 5 88  1.06896  0.00422  0.02438  0.20722  1.64437
 5 89  1.07401  0.00428  0.01301  0.21303  1.64638
 5 90  1.09584  0.00337 -0.01878  0.22845  1.94022
 5 91  1.10528  0.00614  0.01422  0.25040  1.78480
 5 92  1.15690  0.00634  0.01150  0.27515  2.51728
 6  6  1.23893  0.02336 -0.03370  0.37606  1.98522
 6  7  1.15369  0.02987 -0.01635  0.31651  1.72663
 6  8  1.12194  0.03500 -0.00443  0.28623  1.55739
 6  9  1.17631  0.03240  0.01203  0.29247  1.25551
 6 10  1.16437  0.10205  0.26472  0.08763  1.14520
 6 11  1.56224  0.00736 -0.02428  0.46319  1.79433
 6 12  1.45773  0.00590 -0.04665  0.40044  0.75085
 6 13  1.37884  0.00772 -0.04367  0.36973  0.68739
