# Z1 Z2 a b c d rms_err(%) max_err(%)
 3 78  0.83574  0.01324  0.12816  0.22343  1.57  2.76
 3 79  0.83082  0.00879  0.10775  0.22371  1.62  2.89
 3 80  0.82571  0.00632  0.09098  0.22045  1.72  3.07
 3 81  0.81728  0.00682  0.09794  0.20917  1.78  3.15
 3 82  0.80413  0.00801  0.11156  0.19088  1.91  3.27
 3 83  0.79785  0.00918  0.12227  0.18062  1.95  3.33
 3 84  0.79040  0.01020  0.13256  0.16784  1.99  3.41
 3 85  0.78655  0.00958  0.13327  0.16156  2.00  3.54
 3 86  0.82981  0.00328  0.09665  0.19797  2.75  5.20
 3 87  0.82996  0.00307  0.10904  0.19371  2.78  5.42
 3 88  0.80588  0.00603  0.12251  0.16850  2.62  4.97
 3 89  0.80050  0.00792  0.13437  0.15884  2.58  4.83
 3 90  0.78407  0.01081  0.15022  0.14180  2.26  3.98
 3 91  0.76482  3.42726  0.49298 -3.29990  2.89  5.58
 3 92  0.78918  0.20558  0.41665 -0.04706  2.73  5.47
 4  4  1.13830  0.01321  0.21226  0.19593 52.00 98.72
 4  5  0.97427  0.00000 -0.56257  0.30520  4.68  8.67
 4  6  1.31873  0.01348  0.06030  0.59481  2.25  4.23
 4  7  1.21920  0.02427  0.09883  0.52112  1.98  3.57
 4  8  1.11952  0.03607  0.13040  0.42499  1.61  3.47
 4  9  1.05199  0.04678  0.15677  0.33472  1.21  2.77
 4 10  0.98971  0.04563  0.17177  0.25186  1.37  2.90
 4 11  0.97531  0.03296  0.16148  0.23751  1.88  4.18
 4 14  1.13830  0.01321  0.21226  0.19593 34.98 77.22
 4 15  1.12873  0.01119  0.19469  0.38560  1.82  3.59
 4 16  1.01827  0.02235  0.14778  0.27444  1.07  2.10
 4 17  0.98504  0.02204  0.14871  0.23680  1.35  2.49
 4 18  0.96162  0.01354  0.12936  0.22037  1.65  2.76
 4 19  0.95903  0.01260  0.12472  0.22288  1.68  2.77
 4 20  0.96673  0.01601  0.13368  0.23177  1.61  2.63
 4 21  1.01602  0.02228  0.13641  0.26711  2.25  4.51
 4 22  1.01649  0.03054  0.15008  0.27190  1.89  4.16
 4 23  1.01071  0.03417  0.15432  0.27533  1.75  3.94
 4 24  1.00671  0.03651  0.15586  0.28161  1.66  3.76
 4 25  1.00798  0.03760  0.15482  0.29276  1.61  3.67
 4 26  1.01286  0.03577  0.14870  0.31200  1.67  3.78
 4 27  1.00846  0.03557  0.14742  0.31718  1.68  3.80
 4 28  0.99074  0.03389  0.14704  0.30747  1.77  3.95
 4 29  0.95909  0.02519  0.13834  0.29475  1.49  2.92
 4 31  0.83073 -0.06647  0.96990  0.30272  7.20 15.95
 4 32  1.01107  0.01827  0.23555  0.34904  2.12  4.54
 4 33  0.94657  0.01414  0.12602  0.29162  2.02  4.18
 4 34  0.92991  0.01466  0.12919  0.27183  1.96  4.05
 4 35  0.88723  0.01467  0.13118  0.22609  1.77  3.02
 4 36  0.88436  0.00673  0.09393  0.22761  1.95  3.43
 4 37  0.87907  0.00665  0.09675  0.21934  1.93  3.42
 4 38  0.87793  0.00894  0.11535  0.21226  1.89  3.35
 4 39  0.86682  0.01727  0.15046  0.19054  1.85  3.22
 4 40  0.86109  0.02579  0.17124  0.17232  1.86  3.79
 4 41  0.86337  0.02783  0.17409  0.17266  1.81  3.78
 4 42  0.87722  0.02869  0.17094  0.18170  2.30  4.88
 4 43  0.87702  0.03060  0.17376  0.18096  2.22  4.76
 4 44  0.87881  0.03138  0.17410  0.18311  2.18  4.69
 4 45  0.87817  0.03096  0.17391  0.18199  2.20  4.73
 4 46  0.88056  0.02724  0.16774  0.18511  2.34  4.93
 4 47  0.85823  0.02451  0.17042  0.17167  1.71  3.24
 4 48  0.86952  0.01634  0.15244  0.19128  1.68  3.09
 4 49  0.86786  0.01590  0.15264  0.18844  1.70  3.16
 4 50  0.86002  0.01732  0.15844  0.17715  1.69  3.03
 4 51  0.84923  0.02109  0.17119  0.15694  1.72  3.02
 4 52  0.84671  0.02257  0.17633  0.14917  1.75  3.12
 4 53  0.85750  0.01603  0.16260  0.16310  1.92  3.72
 4 54  0.88083  0.00683  0.12604  0.19087  1.97  4.13
 4 55  0.88679  0.00481  0.08800  0.20979  1.55  2.81
 4 56  0.88268  0.00799  0.11466  0.20674  1.47  2.71
 4 57  0.85536  0.02017  0.18174  0.13646  1.81  3.37
 4 58  0.92546  0.00578  0.09556  0.26179  1.46  2.99
 4 59  0.92291  0.00627  0.09622  0.26497  1.37  2.69
 4 60  0.92034  0.00664  0.09577  0.26823  1.29  2.43
 4 61  0.91771  0.00678  0.09321  0.27178  1.21  2.22
 4 62  0.91805  0.00658  0.08855  0.27828  1.17  2.17
 4 63  0.91984  0.00623  0.08314  0.28602  1.14  2.12
 4 64  0.91783  0.00902  0.10027  0.28251  1.16  2.20
 4 65  0.92108  0.00559  0.07387  0.29849  1.12  2.07
 4 66  0.91950  0.00535  0.07007  0.30214  1.12  2.09
 4 67  0.91765  0.00500  0.06459  0.30522  1.13  2.10
 4 68  0.91637  0.00449  0.05704  0.30781  1.15  2.12
 4 69  0.91006  0.00368  0.04439  0.30462  1.22  2.24
 4 70  0.93043  0.00043 -0.10434  0.32779  1.68  3.29
 4 71  0.89791  0.00926  0.09925  0.27093  1.30  2.32
 4 72  0.86539  0.01413  0.12590  0.24262  1.47  2.54
 4 73  0.85833  0.01588  0.13321  0.23365  1.53  2.60
